profession_id,lifestyle_profile_node_id,avg_weekly_hours_band,avg_weekly_hours_estimate,schedule_type,boundary_quality,predictability,ai_exposure,geographic_concentration,physical_intensity,remote_friendliness,weekend_work_likelihood,night_work_likelihood,heuristic_flag,source,notes,time_pressure_score,contact_with_others_score,email_score,face_to_face_score,sitting_score,standing_score,walking_score,regular_schedule_pct,irregular_schedule_pct,seasonal_schedule_pct,required_education_distribution_json,related_experience_distribution_json,on_job_training_distribution_json
market_research_analyst,lifestyle:market_research_analyst,40_50,42,normal,strong,high,high,regional,low,high,low,low,mixed,bls_ooh_2026;onet_30_2,"Most market research analysts work full time during regular business hours. Better hours than finance or consulting, but work is highly exposed to analytics automation and AI tooling.",4.04,4.22,5.0,4.22,4.65,1.87,1.35,65.22,34.78,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 56.52}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 39.13}, {""category"": ""7"", ""label"": ""Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master."", ""value"": 4.35}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 0.0}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 34.78}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 26.09}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 17.39}]","[{""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 21.74}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 21.74}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 13.04}]"
graphic_designer,lifestyle:graphic_designer,40_50,40,normal,moderate,medium,high,regional,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most graphic designers work full time, but schedules can vary for self-employed workers. Creative lifestyle can feel flexible, but earnings are more modest and tooling is highly AI-exposed.",4.65,4.25,4.9,4.26,4.79,1.89,1.47,65.0,35.0,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 65.0}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 15.0}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 10.0}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 5.0}]","[{""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 30.0}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 15.0}, {""category"": ""11"", ""label"": ""Over 10 years"", ""value"": 15.0}]","[{""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 25.0}, {""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 25.0}, {""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 15.0}]"
web_digital_interface_designer,lifestyle:web_digital_interface_designer,40_50,43,normal,moderate,medium,high,regional,low,high,low,low,mixed,bls_ooh_2026;onet_30_2,"Most web developers and digital designers work full time. Combines design and tech with good upside, but interface work is being reshaped quickly by AI tooling.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[]
public_relations_specialist,lifestyle:public_relations_specialist,40_50,43,normal,moderate,medium,medium,major_hub_dependent,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most public relations specialists work full time. Some work more than 40 hours per week. Good for communicators, but reputation work can mean urgency, client pressure, and more hub concentration than students expect.",4.55,4.43,4.95,4.82,3.9,2.32,1.91,68.18,31.82,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 90.91}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 9.09}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 0.0}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 0.0}]","[{""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 31.82}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 22.73}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 22.73}]","[{""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 27.27}, {""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 22.73}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 18.18}]"
electrician,lifestyle:electrician,40_50,42,normal,strong,medium,low,local_anywhere,high,low,medium,low,mixed,bls_ooh_2026;onet_30_2,"Work schedules may include evenings and weekends and may vary during bad weather. Strong local demand and low AI risk, with a clearer end-of-day cutoff than many office jobs.",4.32,4.76,3.95,4.93,1.81,4.55,4.23,67.49,32.51,0.0,"[{""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 61.71}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 30.58}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 2.31}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 2.31}]","[{""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 27.96}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 22.87}, {""category"": ""1"", ""label"": ""None"", ""value"": 22.19}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 36.83}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 22.23}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 19.23}]"
plumber,lifestyle:plumber,40_50,44,irregular,strong,medium,low,local_anywhere,high,low,high,low,mixed,bls_ooh_2026;onet_30_2,"Most plumbers, pipefitters, and steamfitters work full time, including nights and weekends, and they are often on call to handle emergencies. Great paid-training path with local durability, but emergency work can disrupt evenings and weekends.",4.27,4.11,3.42,4.54,1.36,4.69,3.86,61.48,38.52,0.0,"[{""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 43.26}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 34.84}, {""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 9.34}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 7.94}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 56.87}, {""category"": ""1"", ""label"": ""None"", ""value"": 18.6}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 10.52}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 32.84}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 23.84}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 10.8}]"
hvac_technician,lifestyle:hvac_technician,40_50,43,irregular,moderate,medium,low,local_anywhere,high,low,medium,low,mixed,bls_ooh_2026;onet_30_2,"Work may include evening or weekend hours, especially during peak repair seasons. Strong practical route with decent pay and low AI exposure, but schedule control depends on service demand.",3.8,4.61,3.89,4.43,2.02,3.9,3.09,48.83,40.81,10.36,"[{""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 68.08}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 20.23}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 6.93}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 3.26}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 32.51}, {""category"": ""1"", ""label"": ""None"", ""value"": 16.64}, {""category"": ""11"", ""label"": ""Over 10 years"", ""value"": 16.54}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 42.41}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 35.11}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 6.91}]"
tile_stone_setter,lifestyle:tile_stone_setter,40_50,40,normal,strong,high,low,local_anywhere,high,low,low,low,mixed,bls_ooh_2026;onet_30_2,"Most flooring installers and tile and stone setters work full time. Physically demanding, but often easier to protect evenings and weekends than in elite knowledge-work tracks.",3.57,3.81,2.06,4.55,1.43,4.05,2.53,68.72,31.28,0.0,"[{""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 47.98}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 36.88}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 10.73}, {""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 4.41}]","[{""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 34.27}, {""category"": ""1"", ""label"": ""None"", ""value"": 24.07}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 15.43}]","[{""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 35.78}, {""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 25.4}, {""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 18.12}]"
construction_manager,lifestyle:construction_manager,40_50,48,extended,moderate,low,low,regional,medium,low,medium,low,mixed,bls_ooh_2026;onet_30_2,"Most construction managers work full time, and some work more than 40 hours per week. High pay with strong real-world demand, but schedules move with projects and deadlines.",4.25,4.6,4.9,4.68,2.65,3.6,2.95,40.0,60.0,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 40.0}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 15.0}, {""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 15.0}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 10.0}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 20.0}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 15.0}, {""category"": ""9"", ""label"": ""Over 6 years, up to and including 8 years"", ""value"": 15.0}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 25.0}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 20.0}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 15.0}]"
physician,lifestyle:physician,50_60,55,irregular,weak,low,low,regional,medium,low,high,high,mixed,bls_ooh_2026;onet_30_2,"Most physicians and surgeons work full time. Some worked more than 60 hours per week in 2024. Extremely strong earnings, but the lifestyle cost is often nights, weekends, and limited schedule control.",3.92,4.98,4.7,5.0,2.6,3.52,2.84,87.77,12.23,0.0,"[{""category"": ""12"", ""label"": ""Post-Doctoral Training"", ""value"": 74.01}, {""category"": ""11"", ""label"": ""Doctoral Degree"", ""value"": 22.54}, {""category"": ""10"", ""label"": ""First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession."", ""value"": 3.45}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 0.0}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 61.32}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 18.88}, {""category"": ""11"", ""label"": ""Over 10 years"", ""value"": 12.9}]","[{""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 27.44}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 17.98}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 14.65}]"
economist,lifestyle:economist,40_50,41,normal,strong,high,medium,major_hub_dependent,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most work full time. Analytical and policy-oriented with strong boundaries for many roles, but fewer openings and more hub concentration than general business jobs.",3.62,3.5,4.92,4.43,4.71,1.92,1.33,87.5,12.5,0.0,"[{""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 50.0}, {""category"": ""11"", ""label"": ""Doctoral Degree"", ""value"": 25.0}, {""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 20.83}, {""category"": ""12"", ""label"": ""Post-Doctoral Training"", ""value"": 4.17}]","[{""category"": ""1"", ""label"": ""None"", ""value"": 29.17}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 20.83}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 16.67}]","[{""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 33.33}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 12.5}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 12.5}]"
biological_technician,lifestyle:biological_technician,40_50,40,normal,strong,high,low,regional,medium,low,low,low,mixed,bls_ooh_2026;onet_30_2,"Most biological technicians work full time. Good science-adjacent entry path, but the earnings ceiling is lower unless you add more schooling.",3.33,4.15,4.85,4.82,3.2,2.81,2.4,53.72,40.56,5.72,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 48.84}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 29.36}, {""category"": ""7"", ""label"": ""Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master."", ""value"": 14.28}, {""category"": ""11"", ""label"": ""Doctoral Degree"", ""value"": 2.75}]","[{""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 33.18}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 31.8}, {""category"": ""11"", ""label"": ""Over 10 years"", ""value"": 14.83}]","[{""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 32.32}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 17.16}, {""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 16.43}]"
civil_engineer,lifestyle:civil_engineer,40_50,44,normal,moderate,medium,low,regional,medium,low,low,low,mixed,bls_ooh_2026;onet_30_2,"Most civil engineers work full time, and some work more than 40 hours per week. Strong infrastructure-linked career with durable demand, though project deadlines can stretch the workweek.",4.0,4.19,5.0,4.76,4.14,2.19,2.05,71.43,23.81,4.76,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 85.71}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 9.52}, {""category"": ""7"", ""label"": ""Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master."", ""value"": 4.76}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 0.0}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 28.57}, {""category"": ""1"", ""label"": ""None"", ""value"": 23.81}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 23.81}]","[{""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 19.05}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 14.29}, {""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 14.29}]"
